company_name|license_number|licensee_type_cd|licensee_type_cd|expiration_date|address1/city/state/zip|phone_number_type|phone|qualifying_individual|license_type2
MTECH MECHANICAL TECHNOLOGIES|LIC-0006509|22|Mechanical Class|A|All|UMC|Work|07/16/2015|12300 PECOS ST WESTMINSTER, CO 80234|303-650-4000|Steven Kugler|27|Plumbing|05/13/2015
MURPHY COMPANY MECH CONT &|LIC-0002192|22|Mechanical Class|A|All|UMC|Work|08/10/2015|ENG|28|303-371-6600|Robert Mathisen|27|Plumbing|11/29/2015|Right-of-Way|04/25/2016
NEUAIR MECHANICAL|LIC-0007801|22|Mechanical|Class|A|All|UMC|Work|01/24/2016|4809 GARY DR BERTHOUD, CO 80513|720-891-2724|Timothy Young
NOAH PLUMBING & HEATING INC|LIC-0004418|22|Mechanical|Class|A|All|UMC|Work|02/12/2016|1881 SEADRIFT DR WINDSOR, CO 80550|303-530-5530|Galen Smith|27|Plumbing|02/12/2016
NORTHERN COLORADO AIR INC|LIC-0004152|22|Mechanical|Class|A|All|UMC|Work|02/09/2016|812 STOCKTON AVE FT COLLINS, CO 80524|970-223-8873|303-684-8875|Roy Griffin
NORTHGLENN HTG A/C & REFRIG|LIC-0003725|22|Mechanical|Class|A|All|UMC|Work|07/26/2015|10977 IRMA DR NORTHGLENN, CO 80233|303-452-4146|Mike Gemeinhardt
OZTEK COMMERCIAL SERVICES LLC|LIC-0010578|22|Mechanical|Class|A|All|UMC|Work|04/09/2016|2022 81ST AVENUE CT GREELEY, CO 80634|970-324-6680|Julian Bateman
PASTERKAMP HTG & A/C CO|LIC-0001935|22|Mechanical|Class|A|All|UMC|Work|06/25/2015|1930 S CHEROKEE ST DENVER, CO 80223|303-777-1234|303-777-1234|James Pasterkamp
PEAK REFRIGERATION|LIC-0003686|22|Mechanical|Class|A|All|UMC|Work|06/23/2015|876 S LIPAN ST DENVER, CO 80223|303-797-8051|303-494-8051|David Gillespie
PENNINGTON'S HEATING & AIR INC|LIC-0010745|22|Mechanical|Class|A|All|UMC|Work|11/07/2015|3540 S PEARL ENGLEWOOD, CO 80113|720-838-8361|Bruce Pennington
PERFECT TEMP INC|LIC-0008865|22|Mechanical|Class|A|All|UMC|Work|08/16/2015|2387 W 8TH ST LOVELAND, CO 80537|970-663-4993|Chris Butts
PERFORMANCE AIR COOLING, INC|LIC-0004320|22|Mechanical|Class|A|All|UMC|Work|09/07/2015|1360 W CEDAR AVE DENVER, CO 80223|303-778-0100|Harold Terry
PRECISE MECHANICAL SERVICES, INC|LIC-0008917|22|Mechanical|Class|A|All|UMC|Work|07/09/2015|12854 N LAKE DR THORNTON, CO 80241|303-280-9177|Glenn Hibl
SUPERIOR HEATING & AIR|LIC-0009440|22|Mechanical|Class|A|All|UMC|Work|05/23/2015|2525 16TH ST #118D DENVER, CO 80211|303-885-5505|Robert Lefebvre
SUPERIOR MECHANICAL SERVICES|LIC-0008279|22|Mechanical|Class|A|All|UMC|Work|03/04/2016|851 E HIGHWAY 224 UNIT A-6 THORNTON, CO 80229|303-935-2613|Ron Fitts
SWAN HEATING & A/C, INC|LIC-0007951|22|Mechanical|Class|A|All|UMC|Work|07/23/2015|599 W 66TH ST LOVELAND, CO 80538|970-215-5870|Tim Swan
TEAM HEATING & AIR CONDITIONING|LIC-0009459|22|Mechanical|Class|A|All|UMC|Work|11/12/2015|INC|303-286-1589|William Doyle
UTOPIA MECHANICAL, INC|LIC-0006781|22|Mechanical|Class|A|All|UMC|Work|10/23/2015|4980 MONARCH DR FIRESTONE, CO 80504|Paul Beckman
WALRATH HEATING & A/C CO INC|LIC-0003248|22|Mechanical|Class|A|All|UMC|Work|07/01/2015|7935 W 14TH AVE LAKEWOOD, CO 80214|303-232-4343|Ben Franzen
WHEELER'S PLBG, HEATING &|LIC-0009939|22|Mechanical|Class|A|All|UMC|Work|06/18/2015|COOLING|80603|303-452-1420|John Wheeler
BROOMHALL BROTHERS INC|LIC-0007244|23|Mechanical|Class|B|Commercial|&|Residential|09/13/2015|1919 W 12TH PL DENVER, CO 80204|303-278-6417|Jimmy Broomhall|27|Plumbing|05/04/2013
BROTHERS PLUMBING & HEATING|LIC-0006656|23|Mechanical|Class|B|Commercial|&|Residential|05/02/2015|12249 PENNSYLVANIA ST THORNTON, CO 80241|303-451-5057|Marvin Kansteiner|27|Plumbing|01/02/2016
BUSCH MECHANICAL INC|LIC-0007574|23|Mechanical|Class|B|Commercial|&|Residential|11/29/2015|555 BURBANK ST STE F BROOMFIELD, CO 80020|720-328-5299|Cory Busch
CARROLL MECHANICAL SERVICES|LIC-0008945|23|Mechanical|Class|B|Commercial|&|Residential|12/18/2015|32 S MAIN ST LONGMONT, CO 80501|Brien Carroll
CIRCULATING AIR HEAT & A/C CO|LIC-0002183|23|Mechanical Class|B|Commercial|&|Residential|04/25/2016|500 9TH AVE STE 12 LONGMONT, CO 80501|303-772-7960|Robert Russell
CMI MECHANICAL|LIC-0003751|23|Mechanical Class|B|Commercial|&|Residential|02/24/2016|11001 E 51ST AVE DENVER, CO 80239|303-364-3443|Rick Dassow
11919 W I-70 FRONTAGE RD N WHEAT RIDGE, CO|23|Mechanical Class|B|Commercial|&|Residential|02/05/2016|80033|303-798-8783|Pat Quinlan
COMFORT PROS OF COLORADO LLC|LIC-0009055|23|Mechanical Class|B|Commercial|&|Residential|10/06/2015|9751 W 44TH AVE STE 121 WHEAT RIDGE, CO|303-945-4319|Greg Grafner
CONTROL SERVICE CENTER INC|LIC-0001662|23|Mechanical Class|B|Commercial|&|Residential|06/26/2015|3280 PEARL ST BOULDER, CO 80301|303-449-7405|303-591-2297|James Strouse|28|Right-of-Way|09/16/2015
11780 COLMANS WAY BROOMFIELD, CO 80020|23|Mechanical Class|B|Commercial|&|Residential|06/17/2015|Phone 1|303-466-4209|Gary Cooper|720-361-4245|28|Right-of-Way|08/27/2015
D & H HEATING & AIR|LIC-0007172|23|Mechanical Class|B|Commercial|&|Residential|12/22/2015|14152 ADAM CT BROOMFIELD, CO 80023|303-452-9996|Hans Brock
INC|23|Mechanical Class|B|Commercial|&|Residential|09/17/2015|2555 S SANTA FE DR UNIT J DENVER, CO 80223|303-935-5495|Terrance Goodroad|27|Plumbing|09/17/2015
DUCTS UNLIMITED MECHANICAL|LIC-0006020|23|Mechanical Class|B|Commercial|&|Residential|02/23/2016|5156 W 58TH AVE STE A ARVADA, CO 80002|303-657-5592|Robert Leishman
DYNAMIC HEATING|LIC-0007365|23|Mechanical Class|B|Commercial|&|Residential|03/23/2016|4481 CLAY ST BOULDER, CO 80301|668-9604|Lewis Sowell
ECONOMY PLUMBING HEAT & AIR INC|LIC-0006576|23|Mechanical Class|B|Commercial|&|Residential|01/16/2016|14881 E COUNTY LINE RD LONGMONT, CO 80504|303-834-8101|Travis Alps|27|Plumbing|01/16/2016|28|Right-of-Way|01/16/2016
EXCEL SYSTEMS|LIC-0009544|23|Mechanical|Class|B|Commercial|&|Residential|06/10/2015|2525 ARAPAHOE AVE E4-275 BOULDER, CO 80302|Denis Walsh
FIREPLACE & GRILL EXPERTS INC|LIC-0008854|23|Mechanical|Class|B|Commercial|&|Residential|09/14/2015|PO BOX 371556 DENVER, CO 80237|303-887-4727|Jason Brendlinger
FOUR SEASONS HEATING INC|LIC-0002876|23|Mechanical|Class|B|Commercial|&|Residential|05/06/2015|4896 MARSHALL ST WHEAT RIDGE, CO 80033|303-423-1982|Jay Lauhon
SERVICES|23|Mechanical|Class|B|Commercial|&|Residential|04/01/2015|4530 S DECATUR ST ENGLEWOOD, CO 80110|303-980-5544|Stephen Korff
2771 W MANSFIELD AVE ENGLEWOOD, CO 80110|23|Mechanical|Class|B|Commercial|&|Residential|08/09/2015|24hr Phone|Michael Morris|303-806-5400
GESSNER PLUMBING & MECHANICAL|LIC-0008524|23|Mechanical|Class|B|Commercial|&|Residential|11/30/2015|INC|303-847-5595|Eli Gessner|27|Plumbing|06/25/2015
GUSTAFSON HEATING & A/C, INC|LIC-0006488|23|Mechanical|Class|B|Commercial|&|Residential|08/18/2015|2585 S RARITAN ST ENGLEWOOD, CO 80110|303-922-6289|Jack Gustafson
H&M MECHANICAL, LLC|LIC-0003701|23|Mechanical|Class|B|Commercial|&|Residential|11/29/2015|108 E EMMA ST LAFAYETTE, CO 80026|303-664-9865|James Allen
HAYNES MECHANICAL SYSTEMS|LIC-0007660|23|Mechanical|Class|B|Commercial|&|Residential|08/09/2015|5634 GREENWOOD PLAZA BLVD GREENWOOD|303-779-0781|Allan Newton
PO BOX 817 BROOMFIELD, CO 80038|23|Mechanical|Class|B|Commercial|&|Residential|10/03/2015|Primary Phone|Michael Kappler|720-929-1680
KCA COMPANIES, INC|LIC-0001736|23|Mechanical|Class|B|Commercial|&|Residential|09/29/2015|1007 E 75TH AVE UNIT D THORNTON, CO 80229|303-288-0119|Ronald Davis
KNERL SHEET METAL, INC|LIC-0006520|23|Mechanical|Class|B|Commercial|&|Residential|09/06/2015|431 W 84TH AVE STE B1 DENVER, CO 80260-4862|303-427-3801|Gregory Knerl
LANDGRAF PLUMBING & HEATING, INC|LIC-0003865|23|Mechanical|Class|B|Commercial|&|Residential|12/03/2015|3820 FOREST ST DENVER, CO 80207|303-399-4000|Robert Landgraf|27|Plumbing|09/20/2015
LEGENDARY HEATING & A/C|LIC-0008478|23|Mechanical|Class|B|Commercial|&|Residential|01/20/2016|2120 REDFIELD CIR LONGMONT, CO 80501|303-775-5266|Brandon Schmidt
5001 S ZUNI ST LITTLETON, CO 80120|23|Mechanical|Class|B|Commercial|&|Residential|05/30/2015|Primary Phone|Mark Balent|975-2100
MARXAIRE INC|LIC-0007263|23|Mechanical|Class|B|Commercial|&|Residential|10/17/2015|1001 E 64TH AVE DENVER, CO 80229|797-3920|Mark Beimers
MC - AIR|LIC-0010717|23|Mechanical|Class|B|Commercial|&|Residential|10/06/2015|3917 SHERIDAN BLVD WHEAT RIDGE, CO 80212|720-636-3272|Michael Corboy
MECHANICAL MASTERS, INC|LIC-0006539|23|Mechanical|Class|B|Commercial|&|Residential|01/10/2016|4217 E VINE DR FORT COLLINS, CO 80524|970-221-0101|Brent Wright|27|Plumbing|01/10/2016
MESA PLUMBING & MECHANICAL INC|LIC-0002566|23|Mechanical|Class|B|Commercial|&|Residential|10/17/2015|P O BOX 17638 BOULDER, CO 80308|303-494-6505|Charles Teschner|27|Plumbing|10/17/2015
MONITOR PROPERTY SERVICES INC|LIC-0002839|23|Mechanical|Class|B|Commercial|&|Residential|02/06/2016|4735 WALNUT ST STE 100 BOULDER, CO 80301|303-449-9361|Salvatore Cirincione
POUDRE VALLEY AIR INC|LIC-0003152|03|Fire Class B Hood Extinguishing|Systems|11/17/2015|2416 DONELLA CT STE A FT COLLINS, CO 80524|970-493-2050|James Weisser|23|Mechanical Class B Commercial|& Residential|11/17/2015
PREMIER HEATING AND AIR|LIC-0008895|23|Mechanical Class B Commercial|& Residential|05/01/2015|3980 S KALAMATH ST DENVER, CO 80110|303-993-9060|Reed Barton
STONE HEATING & AIR, LLC|LIC-0008892|23|Mechanical|Class|B|Commercial|&|Residential|10/22/2015|16792 WELD COUNTY RD 1 LONGMONT, CO 80504|303-564-0986|John Stone
STOUT MECHANICAL INC|LIC-0009884|23|Mechanical|Class|B|Commercial|&|Residential|06/27/2015|1700 GAUCHO CT LONGMONT, CO 80504|303-776-3423|Peter Evangelista
THE GAS CONNECTION|LIC-0001970|23|Mechanical|Class|B|Commercial|&|Residential|07/16/2015|11975 COLMANS WAY BROOMFIELD, CO 80020|303-466-4206|Greg Fanger
US ENGINEERING COMPANY|LIC-0004018|23|Mechanical|Class|B|Commercial|&|Residential|03/30/2016|PO BOX 905 LOVELAND, CO 80539|970-669-1666|Tim Moormeier|27|Plumbing|03/23/2016
WELZIG MECHANICAL|LIC-0003640|23|Mechanical|Class|B|Commercial|&|Residential|01/28/2016|1831 BOSTON AVE UNIT D LONGMONT, CO 80501|303-775-4240|303-678-5576|James Welzig
WESTMINSTER MECHANICAL|LIC-0008369|23|Mechanical|Class|B|Commercial|&|Residential|01/16/2016|15630 PECOS ST BROOMFIELD, CO 80023|303-913-2015|Allen Zamonis
WYATT WORKS|LIC-0010703|23|Mechanical|Class|B|Commercial|&|Residential|09/19/2015|14834 E RADCLIFF PLACE AURORA, CO 80015|303-947-3461|JILL WYATT
ASPEN CREEK HEATING & AIR LLC|LIC-0009303|24|Mechanical|Class|C|1|&|2|Dwelling|Units|12/20/2015|PO BOX 1000 BROOMFIELD, CO 80038|303-464-7000|Daniel Nevin
BERNIE'S PLUMBING & HEATING CO|LIC-0004203|24|Mechanical|Class|C|1|&|2|Dwelling|Units|07/07/2015|1501 LEE HILL RD UNIT 8 BOULDER, CO 80304|303-442-7060|Michael Himes|27|Plumbing|08/13/2015
CARBON VALLEY HEATING AND AIR|LIC-0009956|24|Mechanical|Class|C|1|&|2|Dwelling|Units|06/12/2015|PO BOX 23 FIRESTONE, CO 80520|303-833-4466|Joshua Robertson
DAY & NIGHT EMERGENCY SERVICE|LIC-0008177|24|Mechanical|Class|C|1|&|2|Dwelling|Units|10/18/2015|3270 W ALAMEDA AVE DENVER, CO 80219|303-936-2696|John Boone
363 W EVANS AVE DENVER, CO 80223|24|Mechanical|Class|C|1|&|2|Dwelling|Units|10/09/2015|24hr Phone|Steve Jusseaume|303-340-3400|27|Plumbing|02/20/2015
ENERGY WISE HOMES|LIC-0009994|24|Mechanical|Class|C|1|&|2|Dwelling|Units|11/17/2015|3410 S COUNTY ROAD 31 LOVELAND, CO 80537|970-776-8009|Frank Parrish|27|Plumbing|11/17/2015
IMS HEATING & AIR, INC|LIC-0008440|24|Mechanical|Class|C|1|&|2|Dwelling|Units|07/18/2015|5213 LONGS PEAK RD UNIT A BERTHOUD, CO 80534|970-532-0123|Dwayne Shawver
METAL MECHANICS, INC|LIC-0005212|24|Mechanical|Class|C|1|&|2|Dwelling|Units|10/12/2015|1330 S CLEVELAND AVE LOVELAND, CO 80537|970-203-9954|Richard Kelly
MILE HIGH HEATING & COOLING|LIC-0010827|24|Mechanical|Class|C|1|&|2|Dwelling|Units|04/04/2015|8671 WOLFF CT STE 100 WESTMINSTER, CO 80031|303-942-0678|Joseph Ledkins
RADIANT FLOORS INC|LIC-0001594|24|Mechanical|Class|C|1|&|2|Dwelling|Units|07/07/2015|485 MOLINE ST AURORA, CO 80010|303-363-8214|303-363-8214|Cindy Strong
COUNTRY PLUMBING & HEATING INC|LIC-0001545|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|09/16/2015|1255 ROCK CREEK CIR LAFAYETTE, CO 80026|303-666-4480|Thomas Jurhs|27|Plumbing|04/26/2015
DAVE ARCH PLUMBING LLC|LIC-0010310|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|07/16/2015|202 BUCK RAKE BLVD PLATTEVILLE, CO 80651|303-249-1869|David Archambault|27|Plumbing|07/16/2015
DELUXE PLUMBING & HEATING|LIC-0001362|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|10/21/2015|PO BOX 668 FIRESTONE, CO 80520|303-833-2422|Rick Renoad|27|Plumbing|10/21/2015
DONE SERVICE GROUP, INC|LIC-0005272|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|01/15/2016|541 NORFOLK ST AURORA, CO 80011|303-343-0032|Jeff & Kimberly Metz|27|Plumbing|01/16/2016
E PLUMBUS UNUM LLC|LIC-0009749|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|10/16/2015|4531 ABERDEEN PL BOULDER, CO 80301|303-870-9696|Davis Allen|27|Plumbing|08/18/2015
FRONT RANGE PLUMBING CO INC|LIC-0001173|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|08/20/2015|11071 IRMA DR NORTHGLENN, CO 80233|303-451-1971|James Hulbert|27|Plumbing|08/20/2015
GARY SMITH PLUMBING & HEATING|LIC-0002543|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|05/15/2015|2250 DARTMOUTH AVE BOULDER, CO 80305|303-543-9096|Gary Smith|27|Plumbing|05/15/2015
GLACIER PLUMBING & HEATING|LIC-0003344|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|10/18/2015|PO BOX 439 ERIE, CO 80516|303-666-8646|Dennis Stoley|27|Plumbing|10/18/2015
GRIMSDALE PLUMBING AND HEATING|LIC-0003960|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|02/20/2016|4255 N 119TH ST LAFAYETTE, CO 80026|303-828-3983|James Grimsdale|27|Plumbing|02/20/2016
HABITAT PLUMBING & HEATING|LIC-0003958|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|08/15/2015|3844 17TH ST BOULDER, CO 80304-1201|303-444-1969|Brian Moody|27|Plumbing|10/21/2015
L & L PLUMBING INC|LIC-0009839|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|05/09/2015|PO BOX 555 IDAHO SPRINGS, CO 80452|303-489-7491|Ronald Leatherwood|27|Plumbing|05/09/2015
LAKEWOOD PLUMBING LLC|LIC-0004353|26|Mechanical Class|E|Boilers,|Water|Heat|&|Hydronics|03/02/2016|9800 W 44TH AVE WHEAT RIDGE, CO 80033|303-233-7007|James Dravage|27|Plumbing|03/02/2016
MATRIX PLUMBING INC|LIC-0005014|26|Mechanical Class|E|Boilers,|Water|Heat|&|Hydronics|06/18/2015|PO BOX 1984 LONGMONT, CO 80502-1984|303-772-3395|Mitchell Ingham|27|Plumbing|06/18/2015
NORM'S PLUMBING AND HEATING|LIC-0004174|26|Mechanical Class|E|Boilers,|Water|Heat|&|Hydronics|02/17/2016|2629 SPRUCE ST BOULDER, CO 80302|303-447-1134|Douglas Vojta|27|Plumbing|02/17/2016
NORTHSTAR MECHANICAL INC|LIC-0003976|26|Mechanical Class|E|Boilers,|Water|Heat|&|Hydronics|11/17/2015|7198 GLACIER VIEW RD LONGMONT, CO 80503|303-530-3698|Douglas Stockwell|27|Plumbing|11/17/2015
NOTHNAGLE PLUMBING & HTG|LIC-0001220|26|Mechanical Class|E|Boilers,|Water|Heat|&|Hydronics|03/24/2016|PO BOX 504 LOUISVILLE, CO 80027-0504|720-217-4916|Jeremy Nothnagle|27|Plumbing|03/24/2016
PEEK'S PLUMBING & MECHANICAL,|LIC-0010412|26|Mechanical Class|E|Boilers,|Water|Heat|&|Hydronics|07/03/2015|LLC|303-278-4946|Paul Scarberry|27|Plumbing|07/03/2015
PLANET PLUMBING, INC|LIC-0008756|26|Mechanical Class|E|Boilers,|Water|Heat|&|Hydronics|05/01/2015|PO BOX 19724 BOULDER, CO 80308|303-440-4330|Steve Gentry|27|Plumbing|06/20/2015
7000 S POTOMAC ST CENTENNIAL, CO 80112|26|Mechanical Class|E|Boilers,|Water|Heat|&|Hydronics|10/23/2015|Primary Phone|Jeffrey Belk|303-766-7500|27|Plumbing|10/26/2015
RED STAR PLUMBING|LIC-0009807|26|Mechanical Class|E|Boilers,|Water|Heat|&|Hydronics|11/21/2015|PO BOX 6061 LONGMONT, CO 80501|303-834-7571|303-827-4444|Jed McCue|27|Plumbing|04/11/2016
RITTER PLUMBING & HEATING INC|LIC-0003975|26|Mechanical Class|E|Boilers,|Water|Heat|&|Hydronics|01/29/2016|PO BOX 3257 BOULDER, CO 80307-3257|303-494-0608|Todd Ritter|27|Plumbing|01/29/2016
SAMMONS PLUMBING & HEATING|LIC-0001524|26|Mechanical Class|E|Boilers,|Water|Heat|&|Hydronics|04/04/2016|PO BOX 17396 BOULDER, CO 80308-0396|303-447-1509|Kenneth Sammons|27|Plumbing|04/04/2016|28|Right-of-Way|06/03/2015
SILVER SPRINGS PLUMBING & HEAT|LIC-0004209|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|10/31/2015|917 PRIMOS RD BOULDER, CO 80302|303-258-9778|Robert Bieterman|27|Plumbing|10/31/2015
STEADFAST PLUMBING INC|LIC-0009087|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|09/05/2015|11907 EUDORA DR THORNTON, CO 80233|303-920-1102|Kevin Lasky|27|Plumbing|09/05/2015
STEINLEY PLUMBING, INC|LIC-0003695|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|12/18/2015|1684 OLD HIGHWAY 52 ERIE, CO 80516|720.641.1821|303.828.0158|Jeffrey Steinley|27|Plumbing|12/18/2015
TOM LADD PLUMBING & HEATING|LIC-0010650|26|Mechanical|Class|E|Boilers,|Water|Heat|&|Hydronics|07/03/2015|207 4TH ST WINDSOR, CO 80550|970-686-7793|Ryan Ladd|27|Plumbing|07/03/2015
20/20 COMMUNICATIONS|LIC-0001845|29|Sign|Contractor|A|07/28/2015|PO BOX 4145 BOULDER, CO 80306|303-442-6525|303-442-6525|Stuart Goldstein
AD LIGHT + SIGN COMPANY INC|LIC-0006481|29|Sign|Contractor|A|08/16/2015|4150 ELATI ST DENVER, CO 80216|303-399-3334|Keith Hurley
ADMIRAL SIGN COMPANY|LIC-0007856|29|Sign|Contractor|A|12/15/2015|880 E 68TH AVE DENVER, CO 80229|303-289-7446|Anthony Eppolito
ALTITUDE CUSTOM SIGNS|LIC-0001285|29|Sign|Contractor|A|02/27/2016|1220 BLUE SPRUCE DR STE 2 FT COLLINS, CO 80524|970-225-1000|970-488-1223|James Neenan
ALTITUDE EVENT SERVICES INC|LIC-0010204|29|Sign|Contractor|A|04/01/2016|10151 E COUNTY LINE RD LONGMONT, CO 80501|303-565-0961|Michael Millard
ARAPAHOE SIGN ARTS, INC|LIC-0006630|29|Sign|Contractor|A|05/13/2015|1135 W MISSISSIPPI DENVER, CO 80223|303 937 1915|Jon Nelson
ARCHITECTURAL SIGNS LLC|LIC-0010609|29|Sign|Contractor|A|05/16/2015|7302 S ALTON WAY UNIT B CENTENNIAL, CO 80112|303-696-6106|Mary Harris
ARTCRAFT SIGNS/SACHS LAWLOR CO.|LIC-0001355|29|Sign|Contractor|A|07/18/2015|1717 S ACOMA ST DENVER, CO 80223|303-777-7771 Extention 145|David Gamel
ASPEN SIGN & LIGHTING COMPANY|LIC-0003418|29|Sign|Contractor|A|01/22/2016|INC|719-391-1924|James Keith
BOULDER SIGNS LLC|LIC-0010581|29|Sign Contractor|A|04/11/2015|8090 KINCROSS DR BOULDER, CO 80301|303-325-1211|James Murphy
CDM SIGNS|LIC-0010182|29|Sign Contractor|A|03/05/2016|4650 W 108TH PL WESTMINSTER, CO 80031|303-726-5015|Curt Marcozina
COLORADO SIGN|LIC-0010706|29|Sign Contractor|A|09/25/2015|1005 ALKIRE ST GOLDEN, CO 80401|720-626-7794|Brian Leibovitz
COLORADO SIGNWORKS, INC|LIC-0001519|29|Sign Contractor|A|10/13/2015|1390 E 64TH AVE DENVER, CO 80229|303-286-9688|Diana German
CUSTOM CANVAS/PETERSON CANVAS|LIC-0002399|29|Sign Contractor|A|12/09/2015|1422 WEBSTER AVE FORT COLLINS, CO 80524|970-493-4033|Tim Carroll James Myers
CUSTOM FLAG COMPANY|LIC-0010671|29|Sign Contractor|A|08/05/2015|3995 W 73RD AVE WESTMINSTER, CO 80030|303-431-1117|Chris Payne
CUSTOM LIGHTED SIGNS|LIC-0009463|29|Sign Contractor|A|07/30/2015|4535 E 60TH AVE COMMERCE CITY, CO 80022|303-292-1882|Paul Frizell
DAVINCI SIGN SYSTEMS INC|LIC-0007640|29|Sign Contractor|A|11/30/2015|4496 BENTS DR UNIT A WINDSOR, CO 80550|303-573-7446|970-203-9292|John Shaw
DISCOUNT SIGN AND BANNER|LIC-0010427|29|Sign Contractor|A|10/29/2015|6005 E EVANS AVE DENVER, CO 80222|303-996-1004|Dennis Kaw
ECLIPSE SIGN COMPANY|LIC-0005003|29|Sign Contractor|A|08/14/2015|15866 W 7TH AVE UNIT A GOLDEN, CO 80401|303-278-7215|Mike Johnson
EVERSIGN LLC|LIC-0010806|29|Sign Contractor|A|02/03/2016|DBA CONCEPT SIGNS & GRAPHICS FT COLLINS, CO|970-221-2627|Matt Everhart
FREEMAN SIGNS, INC|LIC-0002690|29|Sign Contractor|A|07/23/2015|3883 N MONACO PKWY DENVER, CO 80207|303-781-0106|Dan Mansker
GORDON SIGN COMPANY|LIC-0002335|29|Sign Contractor|A|03/20/2016|2930 W 9TH AVE DENVER, CO 80204|303-629-1024|303-629-6121|Steve Wolfe
HUSKY SIGNS & GRAPHICS INC|LIC-0007730|29|Sign Contractor|A|07/25/2015|7340 VALMONT RD BOULDER, CO 80301|303-442-8262|Mark Johnson
KEITH HAWKS SIGNS INC|LIC-0007949|29|Sign Contractor|A|08/23/2015|936 TIMBER CT LONGMONT, CO 80504|303-651-1157|Keith Hawks
KING SIGN LLC|LIC-0002097|29|Sign Contractor|A|06/24/2015|410 JONES CT ERIE, CO 80516|303-449-3975|John Geese
LATIMER ASSOCIATES INC DBA ASI|LIC-0009411|29|Sign Contractor|A|09/04/2015|6665 S KENTON ST STE 202 ENGLEWOOD, CO 80111|303-755-0997|Mark Mawe
NAGLE SIGNS, INC|LIC-0010820|29|Sign Contractor|A|02/24/2016|PO BOX 2098 WATERLOO, IA 50704|319-233-4604|Thomas Nagle
PRECISION SIGN CO|LIC-0004284|29|Sign Contractor|A|06/09/2015|404 VIOLET ST GOLDEN, CO 80401|303-279-5977|William Stupansky
PRESS PRINT SIGNS & GRAPHICS|LIC-0010849|29|Sign Contractor|A|03/24/2016|1325 SHERMAN DR LONGMONT, CO 80501|720-491-3487|Rory Sweeney
RINO SIGN WORKS, LLC|LIC-0010739|29|Sign Contractor|A|10/28/2015|5833 MONACO ST COMMERCE CITY, CO 80022|303-289-8547|Brian Dudzinski
ROYAL SIGNS INC|LIC-0006723|29|Sign Contractor|A|01/29/2016|4720 S SANTA FE CIR UNIT 4 ENGLEWOOD, CO 80110|303-795-6551|Bradford Camp
SIGN SHOP|LIC-0008555|29|Sign Contractor|A|01/28/2016|3505 E PLATTE AVE COLORADO SPRINGS, CO 80909|719-573-1567|Kim Creamer
SILVERSPRINGS SIGNS & GRAPHICS|LIC-0009670|29|Sign Contractor|A|10/02/2015|INC|303-543-7907|Robert Okun
XTREME SIGNS & FABRICATION|LIC-0006385|29|Sign Contractor|A|11/14/2015|16012 W 5TH AVE GOLDEN, CO 80401|720-363-2614|Dan Mills
URBAN WOODS LLC|LIC-0009414|14|General Contractor|Class|D-4|Land,|Irrig,|Sitework|02/10/2016|3097 EDISON CT BOULDER, CO 80301|32|VIT KOHOUTEK|28|Right-of-Way|04/03/2015|Certified Arborist|02/10/2016
700 MEADOWLAKE DR BLACK HAWK,|CO|80422|32|Certified Arborist|11/03/2015|24hr Phone|David Walker|720-480-0398
INC|24|Mechanical|Class|C|1|&|2|Dwelling|Units|05/02/2015|5962 SHERIDAN BLVD ARVADA, CO 80003|303-431-8015|Edward Terranova
ELECTRIC|22|Mechanical|Class|A|All|UMC|Work|10/27/2015|5000 W 29TH AVE DENVER, CO 80212|303-458-5988|John Ward|27|Plumbing|04/11/2016
8101 W I-25 FRONTAGE RD UNIT 2 FREDERICK, CO|04|Fire Class|C|Fire|Alarm|Systems|04/25/2015|80516|303-776-1633|Matthew Brown
500 S ARTHUR AVE STE 500 LOUISVILLE, CO 80027|18|General Contractor Class D-8 Requires|a|Permit|09/16/2012|Phone 1|303-665-2100|Jim Welch|303 862 2458
11919 W I-70 FRONTAGE RD N WHEAT RIDGE, CO|23|Mechanical Class|B|Commercial|&|Residential|02/05/2016|80033|303-798-8783|Pat Quinlan
1270 ROCK CREEK CIR LAFAYETTE, CO 80026|04|Fire Class|C|Fire|Alarm|Systems|02/28/2010|24hr Phone|303-666-0667|Garry Kamas|303-666-0667
